nombre;codigo;;
NO DEFINIDO;0;VALLE GRANDE;39
BOSQUES DE PINARES;1;ULPIANO LLOREDA;1301
MIRALINDO;2;SILOE;2003
LA CEIBITA;3;VILLA SAN MARCOS;1408
PUBENZA;4;TERRON COLORADO;101
FINCA EL PILAMO;5;TERRON COLORADO;101
COLOMBIA II ETAPA;9;LOS LAGOS;1395
PILAS DEL CABUYAL;10;DECEPAZ;10004
VILLA DEL PARQUE;11;CIUDADELA FLORALIA;610
SAN MATEO;12;DESEPAZ;2146
LA LAGUNA;13;SAN PEDRO CLAVER;8573
VILLA AURORA;14;PETECUY;605
CASAVIANCA;18;JOSE MANUEL MARROQUIN I ETAPA;1406
SECTOR FEDERACION;19;SAN LUIS;8313
BOITA;20;FLORALIA;9849
SANTANITA;21;EL JORDAN;1815
VILLA DIANA;22;MARROQUIN II ETAPA;1407
LOS CONSTRUCTORES;23;MARIANO RAMOS;1601
VILLA DEL VIENTO;24;SILOE;2003
VILLA FLOR II;25;MANUELA BELTRAN;1403
REAL POMONA;26;MARROQUIN III;1394
CAMPO NU—EZ;27;SANTA MONICA;8185
VILLA DEL MAR;28;;
DON BOSCO;29;;
ANDRES SANIN;30;;
GUSTAVO RESTREPO;31;;
ARISMENDI;32;;
MISTARES;33;;
MONCALEANO;34;;
RAFAEL RAMIREZ;35;;
VILLA MERCEDES;36;;
ACEQUIARRIBA;37;;
VILLALOLA;38;;
VALLE GRANDE;39;;
EL MENTIDERO;40;;
LIMONCITO;41;;
TAGANGA;42;;
SAMARIA EL POBLADO;43;;
TERRON COLORADO;101;;
VISTAHERMOSA;102;;
LA FORTUNA;103;;
LA LEGUA;197;;
PALEMO;198;;
AGUACATAL;199;;
SANTA TERESITA;202;;
ARBOLEDAS;203;;
NORMANDIA;204;;
JUANAMBU;205;;
GRANADA;207;;
SAN VICENTE;209;;
LA FLORA;212;;
MENGA;216;;
CIUDADELA LOS ALAMOS;217;;
CHIPICHAPE;218;;
BAJO MENGA;219;;
URBANIZACION LA MERCED;293;;
VIPASA;294;;
URBANIZACION LA FLORA;295;;
ALTOS DE MENGA;296;;
SECTOR ALTOS NORMANDIABATACLAN;297;;
AREA LIBRE PARQUE DEL AMOR;298;;
EL NACIONAL;301;;
EL PE—ON;302;;
SAN CALLETANO;304;;
LOS LIBERTADORES;305;;
SAN JUAN BOSCO;306;;
SANTA ROSA;307;;
SAN PASCUAL;309;;
EL CALVARIO;310;;
SAN NICOLAS;312;;
EL HOYO;313;;
EL PILOTO;314;;
NAVARRO-LA CHANCA;315;;
ACUEDUCTO SAN ANTONIO;316;;
JORGE ISAACS;401;;
MANZANARES;405;;
SALOMIA;406;;
SULTANA-BERLIN;408;;
IGNACIO RENGIFO;411;;
GUILLERMO VALENCIA;412;;
LA ISLA;413;;
MARCO FIDEL SUAREZ;414;;
EVARISTO GARCIA;415;;
LA ESMERALDA;416;;
UNIDAD RES BUENO MADRID;419;;
FLORA INDUSTRIAL;420;;
CALIMA;421;;
SECTOR CALIMA LA 14;422;;
INDUSTRIAS DE LICORES;423;;
LA ALIANZA;497;;
EL SENA;501;;
LOS ANDES;502;;
LOS GUAYACANES;503;;
METROPOLITANO DEL NORTE;506;;
VILLA DEL PRADO;507;;
VILLAS DE VERACRUZ;508;;
NUEVA SALOMIA;509;;
URBANIZACION EL SAMAN;510;;
BRISAS DE LOS ANDES;511;;
PALMERAS DEL NORTE;512;;
BRISAS DEL GUABITO;513;;
LOS PARQUES BARRANQUILA;594;;
VILLA DEL SOL;595;;
PASEO DE LOS ALMENDROS;596;;
TORRES DE CONFANDI;598;;
SECTOR TRANSITO MUNICIPAL;599;;
PASEO DEL COMERCIO;603;;
PETECUY;605;;
CIUDADELA FLORALIA;610;;
BRISAS DE LOS ALAMOS;611;;
LARES DE COMFENALCO;612;;
LA PORTADA DE COMFANDI;613;;
SECTOR EL JARILLON;614;;
OASIS DE COMFANDI;615;;
QUINTAS DE SALOMIA;617;;
TEJARES DE SALOMIA;618;;
SAN LUISITO;619;;
SOLARES DE COMFANDI;620;;
FONAVIEMCALI;695;;
ACOPI;696;;
URBANIZACION CALIMIO;697;;
SECTOR PUENTE DEL COMERCIO;698;;
PUERTO NUEVO;704;;
PUERTO MALLARINO;705;;
URBANIZACION EL ANGEL DELHOGAR;706;;
SIETE DE AGOSTO;707;;
SAN MARINO;709;;
LAS CEIBAS;710;;
BASE AEREA;711;;
CALIBELLA;712;;
FEPICOL;798;;
PRIMITIVO CRESPO;801;;
SAAVEDRA GALINDO;803;;
SANTA MONICA POPULAR;805;;
LA FLORESTA;806;;
BENJAMIN HERRERA;807;;
EL TRONCAL;810;;
ATANASIO GIRARDOT;812;;
SANTE FE;813;;
VILLACOLOMBIA;815;;
EL TREBOL;816;;
EL TECLADO;817;;
URB LA BASE-TALLERES MPIO;818;;
URBANIZACION NUEVA BASE;819;;
ALAMEDA;901;;
BRETA—A;902;;
JUNIN;903;;
GUAYAQUIL.;904;;
ARANJUEZ;905;;
MANUEL MARIA BUENAVENTURA;906;;
SANTA MONICA BELALCAZAR;907;;
BELACAZAR;908;;
SUCRE;909;;
COLSEGUROS;911;;
EL GUABAL;1002;;
SANTA ELENA;1004;;
SANTO DOMINGO;1006;;
JORGE ZAWASDZKY;1007;;
LA SELVA;1010;;
PASOANCHO;1012;;
COLSEGUROS ANDES;1014;;
SAN CRISTOBAL;1015;;
LAS GRANJAS;1016;;
SAN JUDAS TADEO;1017;;
ALHAMBRA;1019;;
URB BOYACA;1105;;
EL RECUERDO;1108;;
